area;ind;behavior;sp;fortnight
SABCOL;C014;NO FEEDING;syl_mel;18
SABCOL;C150;FEEDING;chl_chl;18
SABOJI;O241;FEEDING;tur_phi;18
SABOJI;O241;FEEDING;tur_phi;18
SABOJI;O241;FEEDING;tur_mer;18
SABOJI;O241;FEEDING;ory_cun;18
SABMAR;M826;NO FEEDING;tur_phi;18
SABMAR;M826;NO FEEDING;eri_rub;18
SABCOL;C014;FEEDING;syl_mel;18
SABMAR;M849;NO FEEDING;tur_phi;18
SABOJI;O231;NO FEEDING;eri_rub;18
SABOJI;O241;NO FEEDING;eri_rub;18
SABCOL;C107;FEEDING;gen_gen;18
SABMAR;M826;NO FEEDING;tur_phi;18
SABMAR;M956;FEEDING;ory_cun;18
SABOJI;O488;FEEDING;tur_phi;18
SABOJI;O488;FEEDING;tur_phi;18
SABOJI;O488;NO FEEDING;eri_rub;18
SABOJI;O839;NO FEEDING;eri_rub;18
SABMAR;M029;FEEDING;cer_ela;18
SABMAR;M956;FEEDING;ory_cun;18
SABOJI;O384;FEEDING;her_icn;18
SABCOL;C018;FEEDING;cer_ela;19
SABCOL;C056;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C168;FEEDING;vul_vul;19
SABCOL;C168;FEEDING;vul_vul;19
SABMAR;M460;NO FEEDING;eri_rub;19
SABOJI;O023;NO FEEDING;tur_phi;19
SABOJI;O621;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_mer;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;syl_mel;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABMAR;M820;FEEDING;eri_rub;19
SABMAR;M820;FEEDING;ory_cun;19
SABOJI;O023;NO FEEDING;tur_phi;19
SABOJI;O023;FEEDING;chl_chl;19
SABOJI;O023;FEEDING;eri_rub;19
SABOJI;O023;NO FEEDING;tur_phi;19
SABOJI;O621;FEEDING;tur_phi;19
SABOJI;O621;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;NO FEEDING;tur_mer;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;FEEDING;tur_mer;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABCOL;C153;NO FEEDING;tur_phi;19
SABOJI;O023;FEEDING;tur_phi;19
SABOJI;O023;NO FEEDING;eri_rub;19
SABCOL;C083;NO FEEDING;ale_ruf;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;tur_phi;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C153;FEEDING;chl_chl;19
SABCOL;C168;FEEDING;vul_vul;19
SABMAR;M820;NO FEEDING;tur_phi;19
SABOJI;O463;NO FEEDING;tur_phi;19
SABCOL;C018;FEEDING;vul_vul;19
SABCOL;C056;FEEDING;vul_vul;19
